Company Name,Address,Contact Number,Average Ratings,Review
02 Space,"Unit 330, Milelong Building,  Amorsolo corner Rufino Streets, Makati City 1230 Metro Manila ",+63(2)3176677,5,Will definitely come back! Very conducive for productivity!  :D
1 Premiere Land Marketing Company,"2/F, A.B. Sandoval Building, Oranbo Drive corner Shaw Boulevard, Pasig City 1600  Metro Manila ",+63(2)86354011,0,
1010 Building,"1010 Mabini 1010 Building, Brgy 666, City of Manila 1000 Metro Manila ",+63(2)85249440,0,
13 Technologies,"Unit 3006, One Corporate Center,  Julia Vargas Avenue corner Merlaco Avenue,  Ortigas Business District, Pasig City 1605 Metro Manila ",+63(2)76211000,0,
Commercial Space For Lease,"1141 Del Monte Avenue, Paltok, Paltok, Quezon City 1105 Metro Manila ",+63(917)3742292,0,
47 East,"47 Esteban Abada Street, Quezon City 1100 Metro Manila ",+63(2)84260189,5,"Not just a place to co-work. It's also a land of opportunity, for new work, new projects, new connections, and new friends. :)"
500 Shaw Centrum,"Shaw Boulevard, Mandaluyong City 1550 Metro Manila ",+63(2)84704712,0,
8 Adriatico Tower,"Padre Faura Street corner J. Bocobo Street, Malate, City of Manila 1004 Metro Manila ",+63(2)76221854,0,
"828 Properties, Incorporated","Lakeside Evozone Road, Nuvali Estate, Santa Rosa City, Laguna ",+63(49)5084828,0,
A J S Cebu Development,"Wilson Square Building, 199 Wilson Street corner P. Guevarra, San Juan City 1500 Metro Manila ",+63(2)89111122,0,
Acceler8,"7/F, Finman Building, 131 Tordesillas Street, Salcedo Village, Makati City 1227 Metro Manila ",+63(2)79178118,5,Thank You guys for being remarkable. Your professionalism and being dedicated. Thumbs Up!
Ace Centerpoint,"Sergio Osmena Street, Koronadal City 9506 South Cotabato ",+63(083)2282355,0,
Acmi Office Systems Philippines,"AYSN Building,  N. Domingo Street, San Juan City 1500 Metro Manila ",+63(2)86540888,5,Provieds quality office furniture and equipment!
Adj Realty,"Room 2A, 45, Visayas Avenue, Project 6, Quezon City, Metro Manila ",+63(2)89203744,0,
Ag Santillan & Sons Inc.,"2520, P. Guevarra corner Blumentritt Streets, Santa Cruz, City of Manila 1001 Metro Manila ",+63(2)85215100,0,
"Agp Sales And Building Services, Incorporated","80, D Silang Street, Batangas City, Batangas ",+63(43)7234279,0,
Agustin Building,"28, F. Ortigas Jr. Road, Ortigas, Pasig City 1605 Metro Manila ",+63(2)86335484,0,
Aic Burgundy Empire Tower,"ADB Avenue, Ortigas Center, Pasig City 1600 Metro Manila ",,0,
Aic Development  Corporation,"AIC Center, 212, Escolta Street, City of Manila, Metro Manila ",+63(2)83537485,0,
Ajrc Marketing & Real Estate Services,"32 B, Sgt. Catolos, Pinagkaisahan, Quezon City 1111 Metro Manila ",+63(2)89350585 loc. 83,0,
Alchemy Business Center And Marketing Consultancy,"2/F, FBR Building, 317 Katipunan Avenue, Loyola Heights, Quezon City 1108 Metro Manila ",+63(2)76231001,0,
Almeda ,"Almeda Building, Makati City 1200 Metro Manila ",+63(2)88162067,0,
